SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526614,EXPO GAS    ,X ,Q,3.65,3.68,3.65,3.68,3.68,3.78,2,110,401.00,
526616,NAT.PLASTIC ,X ,Q,31.60,31.60,27.00,28.05,27.10,29.75,42,2054,59161.00,
526640,ROYALE MANOR,XT,Q,12.07,12.87,12.07,12.48,12.70,12.56,21,1300,15783.00,
526642,MIRZA INTER ,B ,Q,58.60,58.60,56.55,57.00,57.00,57.70,150,12524,717989.00,
526650,TOURISM FINA,B ,Q,114.85,116.75,114.50,114.65,114.50,115.55,64,1588,182480.00,
526662,RAJDARSHAN  ,B ,Q,11.38,11.38,11.38,11.38,11.38,11.97,1,199,2264.00,
526666,BHARTIYA INT,B ,Q,326.00,335.00,314.10,318.95,314.10,320.00,6,73,23825.00,
526668,KAMAT HOTELS,B ,Q,45.00,45.05,43.80,44.45,44.45,45.70,28,1358,60337.00,
526687,POLO HOTELS ,XT,Q,5.83,5.83,5.83,5.83,5.83,6.13,2,9,52.00,
526703,ECOPLAST LTD,X ,Q,116.00,116.00,116.00,116.00,116.00,116.00,2,123,14268.00,
526705,ELEGANT MARB,X ,Q,182.00,182.50,182.00,182.50,182.50,183.55,3,600,109450.00,
